,VidName,FrameNumber,ObjEntropy,SceneEntropy,__background__,person,bicycle,car_coco,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush,sky,building,pole,road_marking,road,pavement,tree,sign_symbol,fence,car_enet,pedestrian,bicyclist,unlabeled
1400,MarchmontGarden1_EQR_720p,10500,0.09913976937399671,1.7374281623789283,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24928993055555557,0.17263368055555556,0.010635416666666666,0.17504166666666668,0.04589409722222222,0.2870746527777778,0.016491319444444444,0.0032552083333333335,0.03344618055555556,0.0012795138888888888,0.004958333333333334,0.0,0.0
1401,EustonTap3_0347,14700,0.646631754052502,1.7441459328390878,0,3,0,8,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396125,0.06627430555555555,0.027581597222222223,0.2459201388888889,0.07102604166666666,0.083625,0.012836805555555556,0.003217013888888889,0.07202777777777777,0.015967013888888888,0.005399305555555556,0.0,0.0
1402,CamdenTown4_EQR_720p,17400,0.8251488816083308,1.7576671986402068,0,26,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40427256944444445,0.08572395833333334,0.031315972222222224,0.15243576388888888,0.05560590277777778,0.028649305555555556,0.016647569444444444,0.0031961805555555554,0.19258854166666667,0.023190972222222224,0.006373263888888889,0.0,0.0
1403,RusselSq3_EQR_720p,1200,0.3551999126917577,1.4508087126591773,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1939722222222222,0.020210069444444444,0.0011927083333333334,0.2965815972222222,0.029194444444444443,0.40708506944444445,0.0020243055555555557,0.009597222222222222,0.028796875,0.0026649305555555554,0.008680555555555556,0.0,0.0
1404,StPaulsCross1_EQR_720p,17100,0.16781153081129252,1.5651436359289006,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.10801909722222222,0.08289583333333334,0.0065763888888888886,0.17086284722222222,0.03144270833333333,0.5005625,0.03126388888888889,0.005055555555555555,0.058340277777777776,0.00023958333333333332,0.004741319444444445,0.0,0.0
1405,MarchmontGarden3_EQR_720p,4500,0.18304553477964297,1.7240537594810328,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25579861111111113,0.15180902777777777,0.00807986111111111,0.18974131944444445,0.02990625,0.2911666666666667,0.010887152777777779,0.012427083333333333,0.04519270833333333,9.201388888888889e-05,0.004899305555555555,0.0,0.0
1406,CamdenTown1_EQR_720p,24900,0.5832040940218166,1.6398487545652978,0,30,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35236805555555556,0.16763194444444443,0.035166666666666666,0.3029131944444444,0.022769097222222222,0.03488715277777778,0.007833333333333333,2.0833333333333333e-05,0.05604513888888889,0.01548263888888889,0.004881944444444445,0.0,0.0
1407,TorringtonSq4_EQR_720p,25500,0.8224603721414039,1.925463245565523,0,35,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21473784722222222,0.24590798611111112,0.027741319444444443,0.19731770833333334,0.10772743055555556,0.11476909722222223,0.011328125,0.002809027777777778,0.043895833333333335,0.019105902777777777,0.014659722222222222,0.0,0.0
1408,PancrasLock2_0058,15000,0.18691340756159,1.6494312949889525,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42575694444444445,0.12091840277777778,0.009194444444444444,0.18885069444444444,0.043875,0.08739756944444445,0.013840277777777778,0.0,0.105515625,0.00020486111111111112,0.004446180555555556,0.0,0.0
1409,TorringtonSq4_EQR_720p,5100,0.685912700547887,1.7147417583242424,0,29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3388159722222222,0.1372048611111111,0.020821180555555555,0.2899670138888889,0.0575625,0.09630381944444444,0.005279513888888889,0.0035434027777777777,0.029116319444444445,0.014630208333333334,0.0067552083333333336,0.0,0.0
